exposure,exposure.type,exposure.id,outcome,mr1_estimate,mr1_cilower,mr1_ciupper,mr1_se,mr1_pval,mr2_estimate,mr2_cilower,mr2_ciupper,mr2_se,mr2_pval,meta.estimate,meta.se,meta.cilower,meta.ciupper,meta.p,meta.I2,meta.hetero.p
Trunk fat mass,Body composition by impedance,ukb-b-20044,Type2-Diabetes,0.511766608,0.264767889,0.758765328,0.12602207,4.89E-05,0.596532062,0.437289004,0.755775119,0.081247951,2.10E-13,0.571643862,0.068286351,0.437805072,0.705482651,5.70E-17,0,0.571856642
Arm fat percentage (left),Body composition by impedance,ukb-b-20188,Type2-Diabetes,0.913669633,0.601627247,1.225712019,0.159208225,9.53E-09,0.784782039,0.574878697,0.994685382,0.10709551,2.34E-13,0.82493418,0.088861633,0.650768579,0.999099781,1.64E-20,0,0.501761606
Trunk fat percentage,Body composition by impedance,ukb-b-16407,Type2-Diabetes,0.447989954,0.188847806,0.707132102,0.132217811,0.000703344,0.613641442,0.425668734,0.80161415,0.095906205,1.57E-10,0.556531692,0.077633188,0.404373439,0.708689945,7.57E-13,0.027727917,0.310506841
Impedance of whole body,Body composition by impedance,ukb-b-19921,Type2-Diabetes,-0.502450675,-0.841590699,-0.163310651,0.173033804,0.003686968,-0.646930908,-0.872776825,-0.421084991,0.115229626,1.97E-08,-0.602542824,0.095909128,-0.79052126,-0.414564387,3.33E-10,0,0.487066871
Impedance of arm (left),Body composition by impedance,ukb-b-19379,Type2-Diabetes,-0.590823377,-0.946493575,-0.23515318,0.181467721,0.001130717,-0.527686839,-0.776069521,-0.279304157,0.126728187,3.13E-05,-0.548384189,0.103900197,-0.752024834,-0.344743544,1.31E-07,0,0.775453179
Leg fat-free mass (left),Body composition by impedance,ukb-b-16099,Type2-Diabetes,0.513696949,0.133194623,0.894199274,0.194137407,0.00814382,0.537208497,0.263119526,0.811297469,0.139843882,0.000122291,0.52917646,0.113470109,0.306779133,0.751573787,3.11E-06,0,0.921719866
Leg predicted mass (left),Body composition by impedance,ukb-b-17271,Type2-Diabetes,0.618217484,0.224390501,1.012044466,0.200935826,0.00209312,0.501158897,0.226462315,0.775855478,0.140153892,0.000349191,0.539470451,0.114953083,0.314166548,0.764774354,2.69E-06,0,0.632780646
Leg predicted mass (right),Body composition by impedance,ukb-b-14310,Type2-Diabetes,0.601485603,0.207710272,0.995260935,0.200909473,0.002755138,0.473992774,0.205305621,0.742679926,0.137087801,0.00054504,0.514494379,0.113238381,0.29255123,0.736437527,5.53E-06,0,0.600153568
Impedance of arm (right),Body composition by impedance,ukb-b-7859,Type2-Diabetes,-0.405791888,-0.760879101,-0.050704676,0.181170274,0.025101505,-0.427653917,-0.673519964,-0.18178787,0.125444166,0.000651734,-0.4205692,0.10313426,-0.622708636,-0.218429764,4.54E-05,0,0.920971436
Arm fat-free mass (right),Body composition by impedance,ukb-b-19520,Type2-Diabetes,0.673719556,0.238526948,1.108912164,0.222041125,0.002411659,0.501963009,0.193235758,0.810690261,0.157516798,0.001438926,0.559463023,0.128472669,0.30766122,0.811264827,1.33E-05,0,0.528102851
Arm fat-free mass (left),Body composition by impedance,ukb-b-19925,Type2-Diabetes,0.658069551,0.214127736,1.102011366,0.226505088,0.003668789,0.487325747,0.16728345,0.807368044,0.163289887,0.002841157,0.545716805,0.132458142,0.286103618,0.805329992,3.79E-05,0,0.540878032
Leg fat-free mass (right),Body composition by impedance,ukb-b-12828,Type2-Diabetes,0.45873444,0.067363009,0.850105871,0.199682971,0.021600876,0.398671781,0.133852388,0.663491175,0.135114418,0.003171332,0.417534906,0.11190399,0.198207116,0.636862696,0.000190578,0,0.80326849
Arm predicted mass (right),Body composition by impedance,ukb-b-16698,Type2-Diabetes,0.543290205,0.104264148,0.982316261,0.223997002,0.015290047,0.44335826,0.138848508,0.747868012,0.155364973,0.004321924,0.475818085,0.127662435,0.225604311,0.726031859,0.000193651,0,0.713930204
Trunk fat-free mass,Body composition by impedance,ukb-b-17409,Type2-Diabetes,0.145314781,-0.248171345,0.538800907,0.200761917,0.469178419,0.353965962,0.066533699,0.641398226,0.146651809,0.015793678,0.281368374,0.118421895,0.049265724,0.513471023,0.017502284,0,0.401336897
Impedance of leg (left),Body composition by impedance,ukb-b-14068,Type2-Diabetes,-0.270240001,-0.532995996,-0.007484007,0.134061644,0.043822034,-0.204711355,-0.37409958,-0.035323131,0.086424152,0.017851582,-0.223949183,0.072638515,-0.366318056,-0.081580309,0.002048812,0,0.681199735
Hip circumference,Body size measures,ukb-b-15590,Type2-Diabetes,0.497750315,0.238872405,0.756628225,0.132082993,0.000164254,0.474839119,0.296925102,0.652753135,0.090774126,1.69E-07,0.482188958,0.074810392,0.335563284,0.628814631,1.15E-10,0,0.886325364
"Heel quantitative ultrasound index (QUI), manual entry",Bone-densitometry of heel,ukb-b-17848,Type2-Diabetes,0.100286638,-0.139612366,0.340185642,0.1223997,0.412594007,0.187317635,0.054234271,0.320401,0.067900923,0.005803346,0.166837085,0.059376444,0.050461392,0.283212777,0.004956931,0,0.534090901
Heel bone mineral density (BMD),Bone-densitometry of heel,ukb-b-8875,Type2-Diabetes,0.058064637,-0.114027073,0.230156348,0.087803506,0.508418637,0.142528201,0.039197077,0.245859325,0.05272093,0.006862454,0.120145968,0.045199004,0.031557547,0.208734389,0.007856971,0,0.409534
Fractured heel (left),Bone-densitometry of heel,ukb-b-8221,Type2-Diabetes,0.679793359,-2.715099138,4.074685856,1.732119837,0.694715969,2.729176648,0.419764587,5.03858871,1.178293111,0.020546696,2.080837114,0.97424367,0.171354609,3.990319619,0.032691745,0,0.327939942
"Heel bone mineral density (BMD), manual entry",Bone-densitometry of heel,ukb-b-11364,Type2-Diabetes,0.128976654,-0.117987609,0.375940917,0.12600449,0.30603003,0.138545888,0.002241444,0.274850333,0.069544362,0.046349732,0.136311563,0.060886454,0.016976306,0.255646819,0.025170034,0,0.946988499
Dried fruit intake,Diet,ukb-b-16576,Type2-Diabetes,-0.368708547,-0.839015625,0.101598531,0.239957,0.12440087,-0.531250817,-0.844271494,-0.218230141,0.159707361,0.000879751,-0.481352102,0.132952022,-0.741933277,-0.220770926,0.00029404,0,0.57282147
Poultry intake,Diet,ukb-b-8006,Type2-Diabetes,0.385403514,-0.150927823,0.92173485,0.273643465,0.159008272,0.551114439,0.14716084,0.955068038,0.206102562,0.007495659,0.491135127,0.164630482,0.168465312,0.813804942,0.002851979,0,0.628585487
"Coffee type: Ground coffee (include espresso, filter etc)",Diet,ukb-d-1508_3,Type2-Diabetes,-0.622212809,-1.500651014,0.256225396,0.448190993,0.165053011,-1.077276255,-1.645672874,-0.508879635,0.290003604,0.000203445,-0.942978565,0.24347895,-1.420188537,-0.465768593,0.000107532,0,0.393966628
Major dietary changes in the last 5 years: No,Diet,ukb-d-1538_0,Type2-Diabetes,-0.80808601,-1.903378885,0.287206865,0.558833164,0.148170549,-1.20378897,-1.882945835,-0.524632104,0.346514972,0.000512783,-1.093898347,0.294494942,-1.671097827,-0.516698867,0.000203614,0,0.547315781
"Major dietary changes in the last 5 years: Yes, because of illness",Diet,ukb-d-1538_1,Type2-Diabetes,3.443668642,0.844441924,6.042895361,1.326160449,0.009411835,2.236264219,0.675400781,3.797127656,0.79637353,0.004984102,2.556271313,0.682730797,1.21814354,3.894399087,0.000180979,0,0.435079221
