"exposure","exposure.field_id","exposure.field_type","exposure.id","outcome","mr1_estimate","mr1_cilower","mr1_ciupper","mr1_se","mr1_pval","mr2_estimate","mr2_cilower","mr2_ciupper","mr2_se","mr2_pval","meta.estimate","meta.se","meta.cilower","meta.ciupper","meta.p","meta.I2","meta.hetero.p"
"Plays computer games","2237","Categorical (single)","ukb-b-4779","Type2-Diabetes","0.00398536809398503","-0.00139450652369143","0.00936524271166149","0.00274488442650591","0.146522280729935","0.000576352456099801","-0.00415967569172513","0.00531238060392473","0.00241638529339422","0.811479013192337","0.00206476218877696","0.00181372240153058","-0.00149006839617648","0.0056195927737304","0.254948752019901","0","0.351232659913034"
"Frequency of stair climbing in last 4 weeks","943","Categorical (single)","ukb-b-298","Type2-Diabetes","-0.00286352949718616","-0.006256282826649","0.000529223832276673","0.00173102840471786","0.0980795717417869","-0.00418348300699431","-0.00768287916717293","-0.0006840868468157","0.00178543901203359","0.0191236577049547","-0.00350308738481758","0.00124281255550735","-0.00593895523314617","-0.001067219536489","0.00482219895356787","0","0.595570815051465"
"Usual walking pace","924","Categorical (single)","ukb-b-4711","Type2-Diabetes","-0.0108243785658099","-0.0160041769315687","-0.0056445802000511","0.00264280283036647","4.20722142384218e-05","-0.0146333826409351","-0.0200328686897997","-0.00923389659207057","0.00275489044260762","1.08557300559548e-07","-0.0126498175437292","0.00190713867587254","-0.0163877406619628","-0.00891189442549565","3.29204630532717e-11","0","0.3183973932766"
"Nap during day","1190","Categorical (single)","ukb-b-4616","Type2-Diabetes","0.00563886617588044","0.00160090306195843","0.00967682928980246","0.00206022311928839","0.00619990456251133","0.00636989083808125","0.00249666282258466","0.0102431188535778","0.00197617305524393","0.00126702110486041","0.00601959406984224","0.0014261536157252","0.00322438434659928","0.00881480379308521","2.43372570908032e-05","0","0.797896602100925"
"Sleep duration","1160","Integer","ukb-b-4424","Type2-Diabetes","8.91334542863336e-05","-0.0036474737017098","0.00382574061028247","0.00190646725423019","0.962709925249738","-0.00213516772428896","-0.00597843748416643","0.00170810203558851","0.00196088795008107","0.27620769465577","-0.000991723383370045","0.00136691046639966","-0.00367081866760422","0.00168737190086413","0.468131957363628","0","0.416045260527188"
"Sleeplessness / insomnia","1200","Categorical (single)","ukb-b-3957","Type2-Diabetes","0.0049214249784578","0.000768183285182821","0.00907466667173279","0.00211903980176943","0.0202071696038063","0.00573503227469861","0.00186243798389532","0.0096076265655019","0.00197584972037742","0.00370120324869151","0.00535664409812609","0.00144510856689461","0.00252428335326236","0.00818900484298982","0.000209942921304775","0","0.778851314074095"
"Current tobacco smoking","1239","Categorical (single)","ukb-b-223","Type2-Diabetes","0.00703268914546047","-0.000219171434124087","0.014284549725045","0.00369999685544546","0.0573375951348116","0.0108869621957665","0.00352643488084243","0.0182474895106906","0.00375544008613577","0.00374373529760347","0.00893116450236042","0.00263567635566202","0.00376533377035908","0.0140969952343618","0.000702589997717035","0","0.464722616374132"
"Ever smoked","20160","Categorical (single)","ukb-b-20261","Type2-Diabetes","0.00522351385772624","3.76305776802251e-06","0.0104432646576845","0.00266318709993191","0.0498350639047221","0.001110538254684","-0.00387897716016678","0.00610005366953478","0.00254571790818987","0.662664240775617","0.0030743189849693","0.00184022153583728","-0.000532448948846753","0.00668108691878535","0.0947958913990017","0.19763601295428","0.264257048581039"
"Smoking status: Current","20116","Categorical (single)","ukb-a-225","Type2-Diabetes","0.00586444590481735","-0.00658898147800726","0.018317873287642","0.00635390623555109","0.356024392255728","0.0102453222041592","-0.00304067444956096","0.0235313188578794","0.00677869428138396","0.130686431608191","0.00791332801857033","0.00463579302913186","-0.00117265935830996","0.0169993153954506","0.0878208769259015","0","0.637270944091787"
"Smoking status: Previous","20116","Categorical (single)","ukb-a-224","Type2-Diabetes","0.00717780588705496","-0.000298093488022526","0.0146537052621324","0.00381430446377914","0.0598614755811893","0.0101756284308796","0.00150486850260174","0.0188463883591574","0.00442393839717041","0.0214409200576459","0.00845608504625613","0.00288880990430556","0.00279412167563463","0.0141180484168776","0.00342043820582864","0","0.607800010894948"
"Smoking status: Never","20116","Categorical (single)","ukb-d-20116_0","Type2-Diabetes","-0.00525799859151704","-0.0097289977473993","-0.000786999435634775","0.0022811639352299","0.0211686426683274","-0.00371848951429285","-0.00818489765485402","0.000747918626268312","0.00227882153743213","0.102730084192847","-0.00448745322983277","0.00161219768679326","-0.00764730263190634","-0.0013276038277592","0.00537860461046172","0","0.633037148036617"
"Able to confide","2110","Categorical (single)","ukb-b-4982","Type2-Diabetes","0.000868360351264763","-0.00102562816932262","0.00276234887185215","0.0009663384304645","0.368860995923273","0.000195358906752753","-0.00175149893237427","0.00214221674587977","0.00099331306824186","0.844082616419911","0.000541121750930166","0.00069264453857134","-0.000816436598758024","0.00189868010061836","0.434661239999209","0","0.62722515908011"
"Use of sun/uv protection","2267","Categorical (single)","ukb-b-7422","Type2-Diabetes","-0.00218906095140536","-0.00540598712820595","0.00102786522539522","0.00164131902533684","0.182295449736702","-0.00110096863362862","-0.00462370458917","0.00242176732191276","0.00179734728970954","0.540172620783837","-0.0016942851547958","0.00121200204448047","-0.00406976551116644","0.000681195201574833","0.162136285038764","0","0.654847883089366"
