"exposure","exposure.field_id","exposure.field_type","exposure.id","outcome","mr1_estimate","mr1_cilower","mr1_ciupper","mr1_se","mr1_pval","mr2_estimate","mr2_cilower","mr2_ciupper","mr2_se","mr2_pval","meta.estimate","meta.se","meta.cilower","meta.ciupper","meta.p","meta.I2","meta.hetero.p"
"Never eat eggs, dairy, wheat, sugar: I eat all of the above","6144","Categorical (multiple)","ukb-b-2393","CAD","-0.707522880427846","-1.20740093089311","-0.207644829962585","0.255044508168637","0.00553520511308294","-0.61368439270512","-1.10800594921383","-0.119362836196407","0.252209510178686","0.0149646857447596","-0.660079197912563","0.179332975388266","-1.01156537091397","-0.308593024911155","0.000232552239589725","0","0.79361777762975"
"Never eat eggs, dairy, wheat, sugar: Dairy products","6144","Categorical (multiple)","ukb-b-18909","CAD","2.20123699722313","-1.3874562871246","5.78993028157087","1.83099960644935","0.229284088197378","0.260803240170688","-3.40977384073184","3.93138032107322","1.87277782135569","0.889244612487788","1.2529052202334","1.30923316607487","-1.31314463263869","3.81895507310549","0.338579175360676","0","0.458772988931897"
"Never eat eggs, dairy, wheat, sugar: Sugar or foods/drinks containing sugar","6144","Categorical (multiple)","ukb-b-5495","CAD","0.687929326939619","0.172498800131939","1.2033598537473","0.262979590887042","0.00889916106350461","0.691975854524579","0.148364086602417","1.23558762244674","0.277358039336489","0.0125998671351127","0.689844988346036","0.190835374226791","0.315814527885302","1.06387544880677","0.000300498862994675","0","0.99155284369156"
"Never eat eggs, dairy, wheat, sugar: Eggs or foods containing eggs","6144","Categorical (multiple)","ukb-b-17455","CAD","-0.516609506458232","-3.5432765142594","2.51005750134293","1.54424623701003","0.737973396961087","-2.13277664996872","-6.04070045705671","1.77514715711927","1.99387531501252","0.28477057504407","-1.12257263608261","1.22089400143239","-3.5154809078311","1.27033563566587","0.357850977042798","0","0.521626571459922"
"Non-oily fish intake","1339","Categorical (single)","ukb-b-17627","CAD","0.171506117350132","-0.109514478072155","0.45252671277242","0.14338048945743","0.231633824749977","0.1838712677666","-0.109259554709373","0.477002090242573","0.149559290266633","0.218914162120067","0.177427997932789","0.103500754656304","-0.0254297535662825","0.380285749431861","0.0864795771504085","0","0.952409335217292"
"Oily fish intake","1329","Categorical (single)","ukb-b-2209","CAD","-0.0945231404825794","-0.244567971391752","0.0555216904265932","0.0765548918718441","0.216938209975193","-0.221583551543051","-0.368898076860902","-0.0742690262252007","0.075161853217635","0.00319748865347368","-0.159219895842137","0.0536331867000484","-0.264339010150345","-0.0541007815339297","0.00299079569735651","0.287059743344347","0.236281701879584"
"Pork intake","1389","Categorical (single)","ukb-b-5640","CAD","0.191836075655784","-0.0542034799953605","0.437875631306928","0.125532692228976","0.126468790193332","0.149079792393843","-0.138803211573995","0.436962796361681","0.146881782644284","0.310122758771641","0.173788284450155","0.0954289160720882","-0.0132489541348337","0.360825523035143","0.0685873805992926","0","0.824869266056406"
"Poultry intake","1359","Categorical (single)","ukb-b-8006","CAD","0.385702362110878","0.180936721535801","0.590468002685954","0.104474185337201","0.000222634282643869","0.34755149282739","0.0526414464403148","0.642461539214465","0.15046707424896","0.0208982557731527","0.37329262313234","0.0858164570933143","0.205095457948618","0.541489788316063","1.36202404484837e-05","0","0.835018966284469"
"Processed meat intake","1349","Categorical (single)","ukb-b-6324","CAD","0.0631666941422975","-0.0596949839737981","0.186028372258393","0.0626856815151773","0.31361127646222","0.144412277769225","-0.0353139822733464","0.324138537811796","0.0916987564364596","0.115289835382826","0.0890420414860488","0.0517495596780489","-0.0123852316987332","0.190469314670831","0.085317296138517","0","0.46451463940922"
"Spread type: Butter/spreadable butter","1428","Categorical (single)","ukb-d-1428_1","CAD","-0.745299981190625","-1.08950588525696","-0.401094077124288","0.175618484207562","2.19709009650426e-05","-0.0043216411104174","-0.435590378958483","0.426947096737648","0.220039113600994","0.98433029023189","-0.456965205525083","0.137260520949426","-0.725990883085163","-0.187939527965002","0.000871015806522297","0.855642979264487","0.0084891191878619"
"Spread type: Other type of spread/margarine","1428","Categorical (single)","ukb-d-1428_3","CAD","0.3412631675748","-0.296259694533335","0.978786029682935","0.325272743344691","0.294104462195681","0.093120024355033","-0.488219115757082","0.674459164467147","0.296607052322208","0.753558398999688","0.205777633226769","0.219167824909783","-0.223783410166385","0.635338676619924","0.34777983444282","0","0.572956641885788"
"Spread type: Never/rarely use spread","1428","Categorical (single)","ukb-d-1428_0","CAD","-0.306511882638722","-1.14017547449082","0.527151709213376","0.425346383111083","0.471145121928569","1.0051717723157","0.157966481925613","1.85237706270579","0.432255539934782","0.0200499957150499","0.338763224243155","0.303178549179454","-0.25545581303368","0.932982261519989","0.263835298600656","0.786247368432766","0.030545874151237"
